branch,counterparty,credit_account,credit_account_2,credit_amount,credit_amount_2,currency,date,debit_account,debit_amount,description,id,type
Rome,Papal Court,Deposits Payable,,104770.05,,florin,1394-07-28,Cash,104770.05,Deposit from Papal Court to Rome branch,7184,deposit
Florence,Republic of Florence,Cash,,8514.04,,florin,1394-07-28,Loans Receivable - Government,8514.04,War financing for Florentine operations against Milan,7185,war_financing
Florence,Republic of Florence,Cash,,3846895.67,,florin,1394-07-28,Loans Receivable - Government,3846895.67,War financing for Florentine operations against Milan,7186,war_financing
Bruges,Marquis,Cash,,98095.03,,florin,1394-07-29,Loans Receivable,98095.03,Loan issued to Marquis from Bruges branch,7187,loan_issuance
Geneva,Lord,Cash,,53637.97,,florin,1394-07-29,Deposits Payable,53637.97,Withdrawal by Lord,7188,withdrawal
Bruges,Wine Trader,Deposits Payable,,252279.13,,florin,1394-07-29,Cash,252279.13,Deposit by Wine Trader,7189,deposit
Florence,Republic of Florence,Cash,,188123.07,,florin,1394-07-29,Loans Receivable - Government,188123.07,Emergency war financing for Florence defense,7190,war_financing
Florence,Republic of Florence,Cash,,75613.53,,florin,1394-07-30,Loans Receivable - Government,75613.53,Emergency war financing for Florence defense,7191,war_financing
Milan,Marquis,Deposits Payable,,94735.43,,florin,1394-07-30,Cash,94735.43,Deposit by Marquis,7192,deposit
London,London Operations,Cash,,2399.12,,florin,1394-07-30,Security,2399.12,Security expense for London branch,7193,operating_expense
Venice,Venice Operations,Cash,,207.74,,florin,1394-07-30,Rent,207.74,Rent expense for Venice branch,7194,operating_expense
Geneva,Trading Company,Cash,,19854.61,,florin,1394-07-30,Loans Receivable,19854.61,Loan issued to Trading Company from Geneva branch,7195,loan_issuance
Venice,Wool Merchant,Deposits Payable,,744099.92,,florin,1394-07-30,Cash,744099.92,Deposit by Wool Merchant,7196,deposit
London,Cloth Merchant,Loans Receivable,Interest Income,47352.68,7576.4288,florin,1394-07-31,Cash,54929.1088,Loan repayment from Cloth Merchant with interest,7197,loan_repayment
Avignon,Grain Merchant,Cash,,66127.44,,florin,1394-08-01,Loans Receivable,66127.44,Loan issued to Grain Merchant from Avignon branch,7198,loan_issuance
Bruges,Trading Company,Cash,,73053.32,,florin,1394-08-01,Deposits Payable,73053.32,Withdrawal by Trading Company,7199,withdrawal
Florence,Armor Smith,Deposits Payable,,40727.12,,florin,1394-08-01,Cash,40727.12,Deposit by Armor Smith,7200,deposit
Rome,Transfer to Bruges,Cash,Exchange Fee Revenue,38381.67489,568.67511,florin,1394-08-01,Due from Bruges,38950.35,Bill of exchange from Rome to Bruges,7201,bill_of_exchange
Florence,Republic of Florence,Cash,,66715.75,,florin,1394-08-01,Loans Receivable - Government,66715.75,War financing for Florentine operations against Milan,7202,war_financing
Rome,Jewel Trader,Cash,,5535.55,,florin,1394-08-01,Deposits Payable,5535.55,Withdrawal by Jewel Trader,7203,withdrawal
Venice,Wine Trader,Cash,,24560.25,,florin,1394-08-01,Loans Receivable,24560.25,Loan issued to Wine Trader from Venice branch,7204,loan_issuance
Florence,Florence Operations,Cash,,16.35,,florin,1394-08-02,Courier Services,16.35,Courier Services expense for Florence branch,7205,operating_expense
Avignon,Avignon Operations,Cash,,5459.64,,florin,1394-08-02,Security,5459.64,Security expense for Avignon branch,7206,operating_expense
Florence,Banking House,Cash,,636715.63,,florin,1394-08-02,Deposits Payable,636715.63,Withdrawal by Banking House,7207,withdrawal
Florence,Grain Merchant,Trading Revenue,,7861.48,,florin,1394-08-02,Cash,7861.48,Alum sale from papal mines,7208,alum_trade
Avignon,Avignon Operations,Cash,,2815.48,,florin,1394-08-03,Wages,2815.48,Wages expense for Avignon branch,7209,operating_expense
Venice,Silk Trader,Cash,,2741.8,,florin,1394-08-03,Loans Receivable,2741.8,Loan issued to Silk Trader from Venice branch,7210,loan_issuance
Avignon,Transfer to London,Cash,Exchange Fee Revenue,323713.48,4130.84,florin,1394-08-03,Due from London,327844.32,Bill of exchange from Avignon to London,7211,bill_of_exchange
Florence,Republic of Florence,Cash,,148138.35,,florin,1394-08-03,Loans Receivable - Government,148138.35,War financing for Florentine operations against Milan,7212,war_financing
Rome,Cardinal's Office,Deposits Payable,,40355.64,,florin,1394-08-03,Cash,40355.64,Deposit from Cardinal's Office to Rome branch,7213,deposit
Rome,Cardinal's Office,Deposits Payable,,569446.93,,florin,1394-08-03,Cash,569446.93,Deposit from Cardinal's Office to Rome branch,7214,deposit
Florence,Republic of Florence,Cash,,59473.61,,florin,1394-08-04,Loans Receivable - Government,59473.61,War financing for Florentine operations against Milan,7215,war_financing
Florence,Spice Merchant,Trading Revenue,,2852.47,,florin,1394-08-04,Cash,2852.47,Alum sale from papal mines,7216,alum_trade
Florence,Duke of Milan,Cash,,90099.86,,florin,1394-08-05,Loans Receivable,90099.86,Loan issued to Duke of Milan from Florence branch,7217,loan_issuance
Rome,Cardinal's Office,Deposits Payable,,146242.18,,florin,1394-08-05,Cash,146242.18,Deposit from Cardinal's Office to Rome branch,7218,deposit
Bruges,Jewel Trader,Cash,,9896.79,,florin,1394-08-05,Loans Receivable,9896.79,Loan issued to Jewel Trader from Bruges branch,7219,loan_issuance
Florence,Spice Merchant,Loans Receivable,Interest Income,3086.53,432.1142,florin,1394-08-06,Cash,3518.6442,Loan repayment from Spice Merchant with interest,7220,loan_repayment
Florence,Republic of Florence,Cash,,93345.32,,florin,1394-08-06,Loans Receivable - Government,93345.32,War financing for Florentine operations against Milan,7221,war_financing
Florence,Republic of Florence,Cash,,1608652.23,,florin,1394-08-06,Loans Receivable - Government,1608652.23,War financing for Florentine operations against Milan,7222,war_financing
Florence,Duke of Milan,Cash,,3742.53,,florin,1394-08-06,Deposits Payable,3742.53,Withdrawal by Duke of Milan,7223,withdrawal
Florence,Republic of Florence,Cash,,2932081.53,,florin,1394-08-06,Loans Receivable - Government,2932081.53,Loan to Venice for Lombardy Wars operations,7224,war_financing
Geneva,King of Naples,Cash,,911936.06,,florin,1394-08-06,Loans Receivable,911936.06,Loan issued to King of Naples from Geneva branch,7225,loan_issuance
Milan,Grain Merchant,Loans Receivable,Interest Income,3808.96,952.24,florin,1394-08-06,Cash,4761.2,Loan repayment from Grain Merchant with interest,7226,loan_repayment
Rome,Vatican Treasury,Deposits Payable,,370046.38,,florin,1394-08-06,Cash,370046.38,Deposit from Vatican Treasury to Rome branch,7227,deposit
Bruges,Grain Merchant,Deposits Payable,,10601.19,,florin,1394-08-07,Cash,10601.19,Deposit by Grain Merchant,7228,deposit
Florence,Florence Operations,Cash,,39528.82,,florin,1394-08-07,Wages,39528.82,Wages expense for Florence branch,7229,operating_expense
Milan,Jewel Trader,Loans Receivable,Interest Income,356.9,82.09,florin,1394-08-07,Cash,438.99,Loan repayment from Jewel Trader with interest,7230,loan_repayment
Milan,Transfer to Venice,Cash,Exchange Fee Revenue,300880.922532,4241.197468,florin,1394-08-08,Due from Venice,305122.12,Bill of exchange from Milan to Venice,7231,bill_of_exchange
Avignon,Avignon Operations,Cash,,236.24,,florin,1394-08-08,Supplies,236.24,Supplies expense for Avignon branch,7232,operating_expense
Milan,Textile Merchant,Loans Receivable,Interest Income,7053.5,916.96,florin,1394-08-08,Cash,7970.46,Loan repayment from Textile Merchant with interest,7233,loan_repayment
Rome,Rome Operations,Cash,,227.23,,florin,1394-08-08,Supplies,227.23,Supplies expense for Rome branch,7234,operating_expense
Bruges,Bruges Operations,Cash,,145.19,,florin,1394-08-08,Supplies,145.19,Supplies expense for Bruges branch,7235,operating_expense
Rome,Rome Operations,Cash,,231.13,,florin,1394-08-08,Maintenance,231.13,Maintenance expense for Rome branch,7236,operating_expense
Bruges,Textile Merchant,Cash,,5107.74,,florin,1394-08-08,Deposits Payable,5107.74,Withdrawal by Textile Merchant,7237,withdrawal
Florence,Republic of Florence,Cash,,228367.58,,florin,1394-08-09,Loans Receivable - Government,228367.58,Emergency war financing for Florence defense,7238,war_financing
Rome,Holy See,Deposits Payable,,11979.51,,florin,1394-08-09,Cash,11979.51,Deposit from Holy See to Rome branch,7239,deposit
Rome,Transfer to Florence,Cash,Exchange Fee Revenue,10130.67,276.84,florin,1394-08-09,Due from Florence,10407.51,Bill of exchange from Rome to Florence,7240,bill_of_exchange
Venice,Marquis,Loans Receivable,Interest Income,1527.7,183.324,florin,1394-08-10,Cash,1711.024,Loan repayment from Marquis with interest,7241,loan_repayment
Rome,Transfer to Milan,Cash,Exchange Fee Revenue,6923.370876,213.389124,florin,1394-08-10,Due from Milan,7136.76,Bill of exchange from Rome to Milan,7242,bill_of_exchange
Venice,Jewel Trader,Trading Revenue,,49041.39,,florin,1394-08-10,Cash,49041.39,Alum sale from papal mines,7243,alum_trade
Milan,Milan Operations,Cash,,134.56,,florin,1394-08-10,Courier Services,134.56,Courier Services expense for Milan branch,7244,operating_expense
Venice,Jewel Trader,Cash,,968.04,,florin,1394-08-10,Loans Receivable,968.04,Loan issued to Jewel Trader from Venice branch,7245,loan_issuance
Rome,Apostolic Chamber,Deposits Payable,,987837.09,,florin,1394-08-10,Cash,987837.09,Deposit from Apostolic Chamber to Rome branch,7246,deposit
London,London Operations,Cash,,1270.2,,florin,1394-08-10,Wages,1270.2,Wages expense for London branch,7247,operating_expense
Milan,Banking House,Cash,,5290.06,,florin,1394-08-11,Loans Receivable,5290.06,Loan issued to Banking House from Milan branch,7248,loan_issuance
Avignon,Doge of Venice,Cash,,1191706.22,,florin,1394-08-11,Loans Receivable,1191706.22,Loan issued to Doge of Venice from Avignon branch,7249,loan_issuance
Rome,Wine Trader,Cash,,1714.3,,florin,1394-08-11,Deposits Payable,1714.3,Withdrawal by Wine Trader,7250,withdrawal
Bruges,Cloth Merchant,Deposits Payable,,131206.16,,florin,1394-08-11,Cash,131206.16,Deposit by Cloth Merchant,7251,deposit
Venice,Silk Trader,Cash,,186240.85,,florin,1394-08-11,Loans Receivable,186240.85,Loan issued to Silk Trader from Venice branch,7252,loan_issuance
Rome,Grain Merchant,Deposits Payable,,38980.86,,florin,1394-08-12,Cash,38980.86,Deposit by Grain Merchant,7253,deposit
London,London Operations,Cash,,77.15,,florin,1394-08-12,Courier Services,77.15,Courier Services expense for London branch,7254,operating_expense
Rome,Silk Trader,Cash,,70536.06,,florin,1394-08-12,Deposits Payable,70536.06,Withdrawal by Silk Trader,7255,withdrawal
Bruges,Bruges Operations,Cash,,2396.09,,florin,1394-08-13,Wages,2396.09,Wages expense for Bruges branch,7256,operating_expense
London,Gold Merchant,Cash,,1438.28,,florin,1394-08-13,Loans Receivable,1438.28,Loan issued to Gold Merchant from London branch,7257,loan_issuance
Florence,Republic of Florence,Cash,,201878.4,,florin,1394-08-13,Loans Receivable - Government,201878.4,Emergency war financing for Florence defense,7258,war_financing
Bruges,King of Naples,Cash,,9593.76,,florin,1394-08-13,Deposits Payable,9593.76,Withdrawal by King of Naples,7259,withdrawal
Florence,Republic of Florence,Cash,,164175.56,,florin,1394-08-13,Loans Receivable - Government,164175.56,War financing for Florentine operations against Milan,7260,war_financing
Milan,Transfer to Avignon,Cash,Exchange Fee Revenue,92335.426821,1874.783179,florin,1394-08-14,Due from Avignon,94210.21,Bill of exchange from Milan to Avignon,7261,bill_of_exchange
Bruges,Jewel Trader,Deposits Payable,,5125.73,,florin,1394-08-14,Cash,5125.73,Deposit by Jewel Trader,7262,deposit
Florence,Republic of Florence,Cash,,188839.59,,florin,1394-08-14,Loans Receivable - Government,188839.59,Loan to Venice for Lombardy Wars operations,7263,war_financing
London,Count of Urbino,Deposits Payable,,162093.06,,florin,1394-08-14,Cash,162093.06,Deposit by Count of Urbino,7264,deposit
Geneva,Silk Trader,Cash,,13591.43,,florin,1394-08-14,Deposits Payable,13591.43,Withdrawal by Silk Trader,7265,withdrawal
Florence,Transfer to London,Cash,Exchange Fee Revenue,32410.84,607.54,florin,1394-08-14,Due from London,33018.38,Bill of exchange from Florence to London,7266,bill_of_exchange
London,London Operations,Cash,,73.05,,florin,1394-08-15,Courier Services,73.05,Courier Services expense for London branch,7267,operating_expense
Florence,Republic of Florence,Cash,,253288.56,,florin,1394-08-15,Loans Receivable - Government,253288.56,Loan to Venice for Lombardy Wars operations,7268,war_financing
Rome,Lord,Loans Receivable,Interest Income,64249.08,7067.4,florin,1394-08-15,Cash,71316.48,Loan repayment from Lord with interest,7269,loan_repayment
Florence,Republic of Florence,Cash,,283722.99,,florin,1394-08-16,Loans Receivable - Government,283722.99,Emergency war financing for Florence defense,7270,war_financing
Rome,Banking House,Trading Revenue,,3556.81,,florin,1394-08-16,Cash,3556.81,Alum sale from papal mines,7271,alum_trade
London,Cloth Merchant,Deposits Payable,,26317.34,,florin,1394-08-16,Cash,26317.34,Deposit by Cloth Merchant,7272,deposit
Florence,Republic of Florence,Cash,,79473.27,,florin,1394-08-16,Loans Receivable - Government,79473.27,Emergency war financing for Florence defense,7273,war_financing
London,Archbishop,Deposits Payable,,3628.29,,florin,1394-08-17,Cash,3628.29,Deposit by Archbishop,7274,deposit
Florence,Republic of Florence,Cash,,212195.29,,florin,1394-08-17,Loans Receivable - Government,212195.29,Loan to Venice for Lombardy Wars operations,7275,war_financing
Rome,Vatican Treasury,Deposits Payable,,49221.66,,florin,1394-08-17,Cash,49221.66,Deposit from Vatican Treasury to Rome branch,7276,deposit
Rome,Wool Merchant,Trading Revenue,,88864.57,,florin,1394-08-17,Cash,88864.57,Alum sale from papal mines,7277,alum_trade
Florence,Republic of Florence,Cash,,3763627.69,,florin,1394-08-18,Loans Receivable - Government,3763627.69,War financing for Florentine operations against Milan,7278,war_financing
Florence,Republic of Florence,Cash,,1665044.45,,florin,1394-08-18,Loans Receivable - Government,1665044.45,Emergency war financing for Florence defense,7279,war_financing
Florence,Transfer to London,Cash,Exchange Fee Revenue,75987.19108,1788.84892,florin,1394-08-18,Due from London,77776.04,Bill of exchange from Florence to London,7280,bill_of_exchange
London,Banking House,Cash,,143326.79,,florin,1394-08-18,Loans Receivable,143326.79,Loan issued to Banking House from London branch,7281,loan_issuance
Florence,Republic of Florence,Cash,,2295764.58,,florin,1394-08-18,Loans Receivable - Government,2295764.58,Emergency war financing for Florence defense,7282,war_financing
Milan,Milan Operations,Cash,,14270.73,,florin,1394-08-18,Wages,14270.73,Wages expense for Milan branch,7283,operating_expense
Rome,Papal Court,Deposits Payable,,28952.67,,florin,1394-08-18,Cash,28952.67,Deposit from Papal Court to Rome branch,7284,deposit
Florence,Transfer to Milan,Cash,Exchange Fee Revenue,9724.900422,227.919578,florin,1394-08-19,Due from Milan,9952.82,Bill of exchange from Florence to Milan,7285,bill_of_exchange
Rome,Holy See,Deposits Payable,,40706.9,,florin,1394-08-19,Cash,40706.9,Deposit from Holy See to Rome branch,7286,deposit
Venice,Armor Smith,Loans Receivable,Interest Income,154631.74,32472.6654,florin,1394-08-19,Cash,187104.4054,Loan repayment from Armor Smith with interest,7287,loan_repayment
Florence,Doge of Venice,Cash,,4052.83,,florin,1394-08-19,Deposits Payable,4052.83,Withdrawal by Doge of Venice,7288,withdrawal
Avignon,Spice Merchant,Loans Receivable,Interest Income,73590.96,13982.28,florin,1394-08-19,Cash,87573.24,Loan repayment from Spice Merchant with interest,7289,loan_repayment
Milan,Cloth Merchant,Cash,,2528.08,,florin,1394-08-20,Deposits Payable,2528.08,Withdrawal by Cloth Merchant,7290,withdrawal
Rome,Papal Curia,Deposits Payable,,97089.56,,florin,1394-08-20,Cash,97089.56,Deposit from Papal Curia to Rome branch,7291,deposit
Milan,Milan Operations,Cash,,317.5,,florin,1394-08-21,Security,317.5,Security expense for Milan branch,7292,operating_expense
Rome,Spice Merchant,Trading Revenue,,47557.96,,florin,1394-08-21,Cash,47557.96,Alum sale from papal mines,7293,alum_trade
Florence,Republic of Florence,Cash,,396766.34,,florin,1394-08-21,Loans Receivable - Government,396766.34,Loan to Venice for Lombardy Wars operations,7294,war_financing
Rome,Spice Merchant,Deposits Payable,,218578.04,,florin,1394-08-21,Cash,218578.04,Deposit by Spice Merchant,7295,deposit
Milan,Transfer to Avignon,Cash,Exchange Fee Revenue,76465.706346,1768.083654,florin,1394-08-22,Due from Avignon,78233.79,Bill of exchange from Milan to Avignon,7296,bill_of_exchange
Rome,Sacred College,Deposits Payable,,3581.42,,florin,1394-08-22,Cash,3581.42,Deposit from Sacred College to Rome branch,7297,deposit
Rome,Rome Operations,Cash,,75.81,,florin,1394-08-22,Courier Services,75.81,Courier Services expense for Rome branch,7298,operating_expense
Geneva,Geneva Operations,Cash,,621.59,,florin,1394-08-22,Supplies,621.59,Supplies expense for Geneva branch,7299,operating_expense
Geneva,Gold Merchant,Loans Receivable,Interest Income,306156.23,24492.4984,florin,1394-08-23,Cash,330648.7284,Loan repayment from Gold Merchant with interest,7300,loan_repayment
London,Cardinal,Cash,,258452.85,,florin,1394-08-23,Deposits Payable,258452.85,Withdrawal by Cardinal,7301,withdrawal
Bruges,Bruges Operations,Cash,,174.91,,florin,1394-08-23,Wages,174.91,Wages expense for Bruges branch,7302,operating_expense
Florence,Republic of Florence,Cash,,342312.8,,florin,1394-08-23,Loans Receivable - Government,342312.8,War financing for Florentine operations against Milan,7303,war_financing
Bruges,Duke of Milan,Cash,,10281.34,,florin,1394-08-24,Loans Receivable,10281.34,Loan issued to Duke of Milan from Bruges branch,7304,loan_issuance
Florence,Republic of Florence,Cash,,637640.74,,florin,1394-08-24,Loans Receivable - Government,637640.74,War financing for Florentine operations against Milan,7305,war_financing
Rome,Cardinal's Office,Deposits Payable,,42132.08,,florin,1394-08-24,Cash,42132.08,Deposit from Cardinal's Office to Rome branch,7306,deposit
Florence,Transfer to Avignon,Cash,Exchange Fee Revenue,11693.01,237.42,florin,1394-08-24,Due from Avignon,11930.43,Bill of exchange from Florence to Avignon,7307,bill_of_exchange
London,Transfer to Milan,Cash,Exchange Fee Revenue,13731.64,173.82,florin,1394-08-24,Due from Milan,13905.46,Bill of exchange from London to Milan,7308,bill_of_exchange
Venice,Banking House,Cash,,9129.18,,florin,1394-08-24,Deposits Payable,9129.18,Withdrawal by Banking House,7309,withdrawal
Florence,Wine Trader,Loans Receivable,Interest Income,5809.44,813.32,florin,1394-08-24,Cash,6622.76,Loan repayment from Wine Trader with interest,7310,loan_repayment
Florence,Republic of Florence,Cash,,944734.46,,florin,1394-08-24,Loans Receivable - Government,944734.46,Emergency war financing for Florence defense,7311,war_financing
Florence,Republic of Florence,Cash,,32756.32,,florin,1394-08-25,Loans Receivable - Government,32756.32,Loan to Venice for Lombardy Wars operations,7312,war_financing
Venice,Gold Merchant,Trading Revenue,,2033.11,,florin,1394-08-26,Cash,2033.11,Alum sale from papal mines,7313,alum_trade
Rome,Wool Merchant,Trading Revenue,,2658.28,,florin,1394-08-26,Cash,2658.28,Alum sale from papal mines,7314,alum_trade
Florence,Republic of Florence,Cash,,25368.75,,florin,1394-08-26,Loans Receivable - Government,25368.75,Emergency war financing for Florence defense,7315,war_financing
Bruges,Transfer to Avignon,Cash,Exchange Fee Revenue,386466.127872,11378.352128,florin,1394-08-27,Due from Avignon,397844.48,Bill of exchange from Bruges to Avignon,7316,bill_of_exchange
Venice,Venice Operations,Cash,,8688.42,,florin,1394-08-27,Security,8688.42,Security expense for Venice branch,7317,operating_expense
Florence,Republic of Florence,Cash,,771294.77,,florin,1394-08-27,Loans Receivable - Government,771294.77,Loan to Venice for Lombardy Wars operations,7318,war_financing
London,Transfer to Bruges,Cash,Exchange Fee Revenue,10073.15,185.68,florin,1394-08-27,Due from Bruges,10258.83,Bill of exchange from London to Bruges,7319,bill_of_exchange
Rome,Apostolic Chamber,Deposits Payable,,19693.3,,florin,1394-08-27,Cash,19693.3,Deposit from Apostolic Chamber to Rome branch,7320,deposit
Avignon,Silk Trader,Deposits Payable,,2450.33,,florin,1394-08-28,Cash,2450.33,Deposit by Silk Trader,7321,deposit
Florence,Republic of Florence,Cash,,120637.29,,florin,1394-08-29,Loans Receivable - Government,120637.29,War financing for Florentine operations against Milan,7322,war_financing
Florence,Republic of Florence,Cash,,156000.21,,florin,1394-08-29,Loans Receivable - Government,156000.21,Loan to Venice for Lombardy Wars operations,7323,war_financing
Florence,Republic of Florence,Cash,,3632997.95,,florin,1394-08-29,Loans Receivable - Government,3632997.95,War financing for Florentine operations against Milan,7324,war_financing
Rome,Holy See,Deposits Payable,,35681.7,,florin,1394-08-30,Cash,35681.7,Deposit from Holy See to Rome branch,7325,deposit
Rome,Vatican Treasury,Deposits Payable,,338283.41,,florin,1394-08-30,Cash,338283.41,Deposit from Vatican Treasury to Rome branch,7326,deposit
Rome,Papal Curia,Deposits Payable,,1865526.62,,florin,1394-08-30,Cash,1865526.62,Deposit from Papal Curia to Rome branch,7327,deposit
Bruges,Transfer to Avignon,Cash,Exchange Fee Revenue,645201.923016,9891.916984,florin,1394-08-31,Due from Avignon,655093.84,Bill of exchange from Bruges to Avignon,7328,bill_of_exchange
Florence,Republic of Florence,Cash,,5899912.19,,florin,1394-08-31,Loans Receivable - Government,5899912.19,Emergency war financing for Florence defense,7329,war_financing
Venice,Spice Merchant,Loans Receivable,Interest Income,128974.79,20635.97,florin,1394-08-31,Cash,149610.76,Loan repayment from Spice Merchant with interest,7330,loan_repayment
Milan,Banking House,Cash,,14722.59,,florin,1394-08-31,Deposits Payable,14722.59,Withdrawal by Banking House,7331,withdrawal
Milan,Transfer to Rome,Cash,Exchange Fee Revenue,58066.48,1330.49,florin,1394-08-31,Due from Rome,59396.97,Bill of exchange from Milan to Rome,7332,bill_of_exchange
Geneva,Banking House,Cash,,49334.41,,florin,1394-08-31,Loans Receivable,49334.41,Loan issued to Banking House from Geneva branch,7333,loan_issuance
Milan,Jewel Trader,Loans Receivable,Interest Income,289511.96,46321.91,florin,1394-08-31,Cash,335833.87,Loan repayment from Jewel Trader with interest,7334,loan_repayment
Venice,Gold Merchant,Trading Revenue,,4648.97,,florin,1394-08-31,Cash,4648.97,Alum sale from papal mines,7335,alum_trade
Venice,Trading Company,Trading Revenue,,159555.51,,florin,1394-08-31,Cash,159555.51,Alum sale from papal mines,7336,alum_trade
Rome,Papal Curia,Deposits Payable,,88466.92,,florin,1394-09-01,Cash,88466.92,Deposit from Papal Curia to Rome branch,7337,deposit
Florence,Cloth Merchant,Trading Revenue,,45809.23,,florin,1394-09-01,Cash,45809.23,Alum sale from papal mines,7338,alum_trade
Rome,Sacred College,Deposits Payable,,48339.26,,florin,1394-09-01,Cash,48339.26,Deposit from Sacred College to Rome branch,7339,deposit
Rome,Holy See,Deposits Payable,,1751017.14,,florin,1394-09-01,Cash,1751017.14,Deposit from Holy See to Rome branch,7340,deposit
London,Baron,Cash,,6859.25,,florin,1394-09-01,Deposits Payable,6859.25,Withdrawal by Baron,7341,withdrawal
London,Wool Merchant,Loans Receivable,Interest Income,4875.52,828.8384,florin,1394-09-02,Cash,5704.3584,Loan repayment from Wool Merchant with interest,7342,loan_repayment
Milan,Cloth Merchant,Cash,,217729.33,,florin,1394-09-02,Deposits Payable,217729.33,Withdrawal by Cloth Merchant,7343,withdrawal
London,Armor Smith,Deposits Payable,,883.71,,florin,1394-09-02,Cash,883.71,Deposit by Armor Smith,7344,deposit
Milan,Marquis,Loans Receivable,Interest Income,270576.0,48703.68,florin,1394-09-02,Cash,319279.68,Loan repayment from Marquis with interest,7345,loan_repayment
Florence,Republic of Florence,Cash,,104516.99,,florin,1394-09-02,Loans Receivable - Government,104516.99,Emergency war financing for Florence defense,7346,war_financing
Florence,Republic of Florence,Cash,,88680.74,,florin,1394-09-02,Loans Receivable - Government,88680.74,War financing for Florentine operations against Milan,7347,war_financing
Bruges,Bruges Operations,Cash,,758.11,,florin,1394-09-03,Security,758.11,Security expense for Bruges branch,7348,operating_expense
Florence,Florence Operations,Cash,,2324.31,,florin,1394-09-03,Rent,2324.31,Rent expense for Florence branch,7349,operating_expense
Milan,Wool Merchant,Deposits Payable,,94987.79,,florin,1394-09-03,Cash,94987.79,Deposit by Wool Merchant,7350,deposit
Florence,Archbishop,Cash,,275719.72,,florin,1394-09-04,Deposits Payable,275719.72,Withdrawal by Archbishop,7351,withdrawal
Rome,Silk Trader,Trading Revenue,,5228.41,,florin,1394-09-04,Cash,5228.41,Alum sale from papal mines,7352,alum_trade
Avignon,Textile Merchant,Cash,,18985.2,,florin,1394-09-04,Deposits Payable,18985.2,Withdrawal by Textile Merchant,7353,withdrawal
Florence,King of Naples,Deposits Payable,,42360.7,,florin,1394-09-04,Cash,42360.7,Deposit by King of Naples,7354,deposit
Rome,Papal Court,Deposits Payable,,56024.34,,florin,1394-09-05,Cash,56024.34,Deposit from Papal Court to Rome branch,7355,deposit
Bruges,Spice Merchant,Cash,,3104.65,,florin,1394-09-05,Deposits Payable,3104.65,Withdrawal by Spice Merchant,7356,withdrawal
Rome,Jewel Trader,Trading Revenue,,24150.29,,florin,1394-09-05,Cash,24150.29,Alum sale from papal mines,7357,alum_trade
Bruges,Grain Merchant,Cash,,11849.23,,florin,1394-09-06,Deposits Payable,11849.23,Withdrawal by Grain Merchant,7358,withdrawal
Rome,Wine Trader,Cash,,9823.92,,florin,1394-09-07,Deposits Payable,9823.92,Withdrawal by Wine Trader,7359,withdrawal
Milan,Transfer to Bruges,Cash,Exchange Fee Revenue,15510.39,463.24,florin,1394-09-08,Due from Bruges,15973.63,Bill of exchange from Milan to Bruges,7360,bill_of_exchange
Rome,Cardinal's Office,Deposits Payable,,22513.47,,florin,1394-09-08,Cash,22513.47,Deposit from Cardinal's Office to Rome branch,7361,deposit
Florence,Florence Operations,Cash,,101.31,,florin,1394-09-08,Rent,101.31,Rent expense for Florence branch,7362,operating_expense
London,Count of Urbino,Loans Receivable,Interest Income,7595.43,607.6344,florin,1394-09-09,Cash,8203.0644,Loan repayment from Count of Urbino with interest,7363,loan_repayment
Rome,Sacred College,Deposits Payable,,882494.21,,florin,1394-09-09,Cash,882494.21,Deposit from Sacred College to Rome branch,7364,deposit
Geneva,Cloth Merchant,Loans Receivable,Interest Income,8882.08,1421.13,florin,1394-09-09,Cash,10303.21,Loan repayment from Cloth Merchant with interest,7365,loan_repayment
Rome,Wool Merchant,Loans Receivable,Interest Income,172878.56,24203.0,florin,1394-09-09,Cash,197081.56,Loan repayment from Wool Merchant with interest,7366,loan_repayment
Geneva,Archbishop,Deposits Payable,,583049.93,,florin,1394-09-09,Cash,583049.93,Deposit by Archbishop,7367,deposit
Avignon,Trading Company,Loans Receivable,Interest Income,236652.34,40230.9,florin,1394-09-09,Cash,276883.24,Loan repayment from Trading Company with interest,7368,loan_repayment
Bruges,Transfer to Venice,Cash,Exchange Fee Revenue,14721.63,157.72,florin,1394-09-09,Due from Venice,14879.35,Bill of exchange from Bruges to Venice,7369,bill_of_exchange
Bruges,Archbishop,Loans Receivable,Interest Income,264564.2,63495.41,florin,1394-09-09,Cash,328059.61,Loan repayment from Archbishop with interest,7370,loan_repayment
Milan,Duke of Milan,Deposits Payable,,64395.31,,florin,1394-09-10,Cash,64395.31,Deposit by Duke of Milan,7371,deposit
Rome,Papal Court,Deposits Payable,,45039.83,,florin,1394-09-10,Cash,45039.83,Deposit from Papal Court to Rome branch,7372,deposit
Rome,Papal Court,Deposits Payable,,590251.36,,florin,1394-09-10,Cash,590251.36,Deposit from Papal Court to Rome branch,7373,deposit
Rome,Trading Company,Trading Revenue,,920.4,,florin,1394-09-10,Cash,920.4,Alum sale from papal mines,7374,alum_trade
Florence,Republic of Florence,Cash,,8046674.7,,florin,1394-09-10,Loans Receivable - Government,8046674.7,Emergency war financing for Florence defense,7375,war_financing
Florence,Gold Merchant,Cash,,392551.72,,florin,1394-09-11,Loans Receivable,392551.72,Loan issued to Gold Merchant from Florence branch,7376,loan_issuance
